sentence_index;sentence;polaridad
1205;Generally , Clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes .;Positivo
1206;The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in Hollywood 's hastier productions .;Positivo
1207;Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .;Positivo
1208;It 's a much more emotional journey than what Shyamalan has given us in his past two movies , and Gibson , stepping in for Bruce Willis , is the perfect actor to take us on the trip .;Positivo
1209;Not only are the special effects and narrative flow much improved , and Daniel Radcliffe more emotionally assertive this time around as Harry , but the film conjures the magic of author J.K. Rowling 's books .;Positivo
1210;Jaglom ... put -LRB- s -RRB- the audience in the privileged position of eavesdropping on his characters;Positivo
1211;Beautifully observed , miraculously unsentimental comedy-drama .;Positivo
1212;A must-see for the David Mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .;Positivo
1216;Far more imaginative and ambitious than the trivial , cash-in features Nickelodeon has made from its other animated TV series .;Positivo
1217;The very definition of the ` small ' movie , but it is a good stepping stone for director Sprecher .;Positivo
1218;A gripping , searing portrait of a lost soul trying to find her way through life .;Positivo
1220;Still , as a visual treat , the film is almost unsurpassed .;Positivo
1221;So unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` Safe ! ';Positivo
1222;An intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .;Positivo
1224;At a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history .;Positivo
1226;Hoffman notches in the nuances of pain , but his smart , edgy voice and waddling profile -LRB- emphasized here -RRB- accent the humor of Wilson 's plight , and that saves his pathos from drippiness .;Positivo
1227;What better message than ` love thyself ' could young women of any size receive ?;Positivo
1228;The second coming of Harry Potter is a film far superior to its predecessor .;Positivo
1229;A movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the Godzilla sized soda .;Positivo
1230;84 minutes of rolling musical back beat and supercharged cartoon warfare .;Positivo
1231;It 's also , clearly , great fun .;Positivo
1232;... takes the beauty of baseball and melds it with a story that could touch anyone regardless of their familiarity with the sport;Positivo
1233;Seldahl 's Barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .;Positivo
1234;A warm but realistic meditation on friendship , family and affection .;Positivo
1235;Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .;Positivo
1236;Turns potentially forgettable formula into something strangely diverting .;Positivo
1237;Bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid .;Positivo
1238;People cinema at its finest .;Positivo
1239;The performances take the movie to a higher level .;Positivo
1240;what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .;Positivo
1242;Manages to transcend the sex , drugs and show-tunes plot into something far richer .;Positivo
1243;Dense with characters and contains some thrilling moments .;Positivo
1244;LaPaglia 's ability to convey grief and hope works with Weaver 's sensitive reactions to make this a two-actor master class .;Positivo
1245;Reign of Fire looks as if it was made without much thought -- and is best watched that way .;Positivo
1246;Altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .;Positivo
1247;We root for -LRB- Clara and Paul -RRB- , even like them , though perhaps it 's an emotion closer to pity .;Positivo
1248;The best film about baseball to hit theaters since Field of Dreams .;Positivo
1249;Instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .;Positivo
1250;the film tunes into a grief that could lead a man across centuries .;Positivo
1251;If The Count of Monte Cristo does n't transform Caviezel into a movie star , then the game is even more rigged than it was two centuries ago .;Positivo
1252;-LRB- D -RRB- oes n't bother being as cloying or preachy as equivalent evangelical Christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .;Positivo
1253;"As a tolerable diversion , the film suffices ; a Triumph , however , it is not .";Positivo
1254;If director Michael Dowse only superficially understands his characters , he does n't hold them in contempt .;Positivo
1261;Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . ';Positivo
1262;... Mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ';Positivo
1263;On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .;Positivo
1264;Fun , flip and terribly hip bit of cinematic entertainment .;Positivo
1267;The film 's performances are thrilling .;Positivo
1268;Even in its most tedious scenes , Russian Ark is mesmerizing .;Positivo
1270;Reggio 's continual visual barrage is absorbing as well as thought-provoking .;Positivo
1271;Unfortunately , it appears that -LRB- Jackie -RRB- Chan 's US influence is starting to show in his Hong Kong films .;Positivo
1272;It all adds up to good fun .;Positivo
1273;A big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .;Positivo
1275;A stunning and overwhelmingly cogent case for Kissinger as a calculating war criminal .;Positivo
1278;Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .;Positivo
1279;The subtle strength of `` Elling '' is that it never loses touch with the reality of the grim situation .;Positivo
1280;A study in shades of gray , offering itself up in subtle plot maneuvers ...;Positivo
1281;The format gets used best ... to capture the dizzying heights achieved by motocross and BMX riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .;Positivo
1283;Chilling but uncommercial look into the mind of Jeffrey Dahmer , serial killer .;Positivo
1286;A movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .;Positivo
1287;Thanks to Scott 's charismatic Roger and Eisenberg 's sweet nephew , Roger Dodger is one of the most compelling variations on In the Company of Men .;Positivo
1288;Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .;Positivo
1290;Will amuse and provoke adventurous adults in specialty venues .;Positivo
1291;You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .;Positivo
1293;For the first time in years , De Niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .;Positivo
1294;The film 's snags and stumblings are more than compensated for by its wryly subversive tone .;Positivo
1295;Inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .;Positivo
1296;Affleck and Jackson are good sparring partners .;Positivo
1297;The old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco Bollywood that , by the end of Monsoon Wedding , sent my spirit soaring out of the theater .;Positivo
1298;An effectively creepy , fear-inducing -LRB- not fear-reducing -RRB- film from Japanese director Hideo Nakata , who takes the superstitious curse on chain letters and actually applies it .;Positivo
1299;Having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , Khouri then gets terrific performances from them all .;Positivo
1300;A subtle and well-crafted -LRB- for the most part -RRB- chiller .;Positivo
1302;Although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .;Positivo
1304;A delectable and intriguing thriller filled with surprises , Read My Lips is an original .;Positivo
1305;This is a story of two misfits who do n't stand a chance alone , but together they are magnificent .;Positivo
1306;Highbrow self-appointed guardians of culture need not apply , but those who loved Cool as Ice have at last found a worthy follow-up .;Positivo
1309;Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .;Positivo
1310;Rare Birds has more than enough charm to make it memorable .;Positivo
1311;Manages to be sweet and wickedly satisfying at the same time .;Positivo
1313;And just when you think it ca n't get any more gay , in pops Nathan Lane .;Positivo
1314;No sophomore slump for director Sam Mendes , who segues from Oscar winner to Oscar-winning potential with a smooth sleight of hand .;Positivo
1315;The movie is n't just hilarious : It 's witty and inventive , too , and in hindsight , it is n't even all that dumb .;Positivo
1316;Old-form moviemaking at its best .;Positivo
1317;Ahhhh ... revenge is sweet !;Positivo
1318;Yakusho and Shimizu ... create engaging characterizations in Imamura 's lively and enjoyable cultural mix .;Positivo
1319;You will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report .;Positivo
1320;Ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .;Positivo
1321;In spite of Good Housekeeping 's unsavory characters and WWF mentality , this white trash War of the Roses is a surprisingly engaging film .;Positivo
1322;Collateral Damage finally delivers the goods for Schwarzenegger fans .;Positivo
1323;There has always been something likable about the Marquis de Sade .;Positivo
1324;As a first-time director , Paxton has tapped something in himself as an actor that provides Frailty with its dark soul .;Positivo
1325;For the most part , director Anne-Sophie Birot 's first feature is a sensitive , extraordinarily well-acted drama .;Positivo
1326;By the time we learn that Andrew 's Turnabout Is Fair Play is every bit as awful as Borchardt 's Coven , we can enjoy it anyway .;Positivo
1327;This riveting World War II moral suspense story deals with the shadow side of American culture : racial prejudice in its ugly and diverse forms .;Positivo
1328;A tender , heartfelt family drama .;Positivo
1329;A difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .;Positivo
1330;For the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .;Positivo
1331;It has the charm of the original American road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .;Positivo
1332;-LRB- Chaiken 's -RRB- talent lies in an evocative , accurate observation of a distinctive milieu and in the lively , convincing dialogue she creates for her characters .;Positivo
1333;In all , this is a watchable movie that 's not quite the memorable experience it might have been .;Positivo
1334;Huppert 's superbly controlled display of murderous vulnerability ensures that malice has a very human face .;Positivo
1335;My thoughts were focused on the characters .;Positivo
1337;If I had been thinking about the visual medium , they would have been doing something wrong .;Positivo
1338;One of the more intelligent children 's movies to hit theaters this year .;Positivo
1339;Remember the kind of movie we were hoping `` Ecks vs. Sever '' or `` xXx '' was going to be ?;Positivo
1341;Not for the prurient or squeamish , it 's a daring if overlong examination of an idolized culture , self-loathing and sexual politics .;Positivo
1342;A cartoon that 's truly cinematic in scope , and a story that 's compelling and heartfelt -- even if the heart belongs to a big , four-legged herbivore .;Positivo
1343;The film 's almost unbearable portrait of sadness and grief transcends its specific story to speak to the ways in which need , history and presumption tangle , and sometimes destroy , blood ties .;Positivo
1344;Travels a fascinating arc from hope and euphoria to reality and disillusionment .;Positivo
1345;There 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like Steven Spielberg to follow A.I. with this challenging report so liable to unnerve the majority .;Positivo
1346;For anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of Hell Houses in particular , it 's an eye-opener .;Positivo
1347;It seems like I have been waiting my whole life for this movie and now I ca n't wait for the sequel .;Positivo
1348;It 's a bit disappointing that it only manages to be decent instead of dead brilliant .;Positivo
1349;An operatic , sprawling picture that 's entertainingly acted , magnificently shot and gripping enough to sustain most of its 170-minute length .;Positivo
1350;The far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .;Positivo
1352;Awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ';Positivo
1353;By candidly detailing the politics involved in the creation of an extraordinary piece of music , -LRB- Jones -RRB- calls our attention to the inherent conflict between commerce and creativity .;Positivo
1354;It 's unnerving to see Recoing 's bizzarre reaction to his unemployment .;Positivo
1355;Good film , but very glum .;Positivo
1356;Much as we might be interested in gratuitous sexualization , Haneke has a different objective in mind -- namely the implications of our craving for fake stimulation .;Positivo
1357;Dazzling in its complexity , disturbing for its extraordinary themes , The Piano Teacher is a film that defies categorisation .;Positivo
1358;"It haunts , horrifies , startles and fascinates ; it is impossible to look away .";Positivo
1359;Ah yes , and then there 's the music ...;Positivo
1361;Although Jackson is doubtless reserving the darkest hours for The Return of the King , we long for a greater sense of urgency in the here and now of The Two Towers .;Positivo
1364;It will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth .;Positivo
1367;The Wild Thornberrys Movie is a jolly surprise .;Positivo
1368;Griffiths proves she 's that rare luminary who continually raises the standard of her profession .;Positivo
1369;Prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , Jagger obviously relishes every self-mocking moment .;Positivo
1371;An important movie , a reminder of the power of film to move us and to make us examine our values .;Positivo
1372;Is this love or is it masochism ?;Positivo
1373;Binoche makes it interesting trying to find out .;Positivo
1374;The mesmerizing performances of the leads keep the film grounded and keep the audience riveted .;Positivo
1375;Worth watching for Dong Jie 's performance -- and for the way it documents a culture in the throes of rapid change .;Positivo
1376;Two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .;Positivo
1377;It 's one heck of a character study -- not of Hearst or Davies but of the unique relationship between them .;Positivo
1378;Candid Camera on methamphetamines .;Positivo
1379;"A subject like this should inspire reaction in its audience ; The Pianist does not .";Positivo
1380;Equilibrium is what George Orwell might have imagined had today 's mood-altering drug therapy been envisioned by chemists in 1949 .;Positivo
1381;Creepy , authentic and dark .;Positivo
1382;This disturbing bio-pic is hard to forget .;Positivo
1383;Martin and Barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by Sven Wollter and Viveka Seldahl make their hopes and frustrations vivid .;Positivo
1384;A twisty , moody slice of Southern Gothic ...;Positivo
1386;The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .;Positivo
1387;An absurdist comedy about alienation , separation and loss .;Positivo
1388;` They ' begins and ends with scenes so terrifying I 'm still stunned .;Positivo
1390;This tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , Nicholas Meyer 's Star Trek VI : The Undiscovered Country .;Positivo
1391;... with `` The Bourne Identity '' we return to the more traditional action genre .;Positivo
1392;Beneath Clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from Rabbit-Proof Fence .;Positivo
1393;The film is a contrivance , as artificial as the video games Japanese teens play in a nightclub sequence , but it 's an enjoyable one .;Positivo
1394;Holm ... embodies the character with an effortlessly regal charisma .;Positivo
1395;It is amusing , and that 's all it needs to be .;Positivo
1398;Seldom has a movie so closely matched the spirit of a man and his work .;Positivo
1399;Audrey Tatou has a knack for picking roles that magnify her outrageous charm , and in this literate French comedy , she 's as morning-glory exuberant as she was in AmÃ©lie .;Positivo
1400;The movie has an infectious exuberance that will engage anyone with a passing interest in the skate\/surf culture , the L.A. beach scene and the imaginative -LRB- and sometimes illegal -RRB- ways kids can make a playground out of the refuse of adults .;Positivo
1401;Even if you do n't think -LRB- Kissinger 's -RRB- any more guilty of criminal activity than most contemporary statesmen , he 'd sure make a courtroom trial great fun to watch .;Positivo
1402;The story and structure are well-honed .;Positivo
1403;Fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .;Positivo
1405;It just may inspire a few younger moviegoers to read Stevenson 's book , which is a treasure in and of itself .;Positivo
1407;Overall very good for what it 's trying to do .;Positivo
1408;Forgettable horror -- more gory than psychological -- with a highly satisfying quotient of Friday-night excitement and Milla power .;Positivo
1410;It may seem long at 110 minutes if you 're not a fan , because it includes segments of 12 songs at a reunion concert .;Positivo
1411;A lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s European-set spy pictures .;Positivo
1412;It proves quite compelling as an intense , brooding character study .;Positivo
1413;The Son 's Room is a triumph of gentility that earns its moments of pathos .;Positivo
1414;Morton uses her face and her body language to bring us Morvern 's soul , even though the character is almost completely deadpan .;Positivo
1415;The film may appear naked in its narrative form ... but it goes deeper than that , to fundamental choices that include the complexity of the Catholic doctrine;Positivo
1416;A superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .;Positivo
1417;One of the smartest takes on singles culture I 've seen in a long time .;Positivo
1418;There is a fabric of complex ideas here , and feelings that profoundly deepen them .;Positivo
1421;Holy mad maniac in a mask , Splat-Man !;Positivo
1422;Good old-fashioned slash-and-hack is back !;Positivo
1426;It 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .;Positivo
1427;Allows us to hope that Nolan is poised to embark a major career as a commercial yet inventive filmmaker .;Positivo
1428;Maneuvers skillfully through the plot 's hot brine -- until it 's undone by the sogginess of its contemporary characters , and actors .;Positivo
1429;It has the ability to offend and put off everyone , but it holds you with its outrageousness .;Positivo
1430;Anchored by Friel and Williams 's exceptional performances , the film 's power lies in its complexity .;Positivo
1434;A poignant and compelling story about relationships , Food of Love takes us on a bumpy but satisfying journey of the heart .;Positivo
1435;The Chateau cleverly probes the cross-cultural differences between Gauls and Yanks .;Positivo
1439;It confirms Fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .;Positivo
1440;Vera 's three actors -- MollÃ  , Gil and Bardem -- excel in insightful , empathetic performances .;Positivo
1441;A marvel like none you 've seen .;Positivo
1442;With tightly organized efficiency , numerous flashbacks and a constant edge of tension , Miller 's film is one of 2002 's involvingly adult surprises .;Positivo
1443;Mr. Tsai is a very original artist in his medium , and What Time Is It There ?;Positivo
1445;Writer\/director Mark Romanek spotlights the underlying caste system in America .;Positivo
1446;It 's a scathing portrayal .;Positivo
1447;This is a good script , good dialogue , funny even for adults .;Positivo
1448;The characters are interesting and often very creatively constructed from figure to backstory .;Positivo
1449;The film will play equally well on both the standard and giant screens .;Positivo
1450;Moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .;Positivo
1453;Gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive .;Positivo
1458;if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then Esther 's story is a compelling quest for truth .;Positivo
1459;Although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching De Niro and Crystal having fun .;Positivo
1461;For movie lovers as well as opera lovers , Tosca is a real treat .;Positivo
1463;Moretti 's compelling anatomy of grief and the difficult process of adapting to loss .;Positivo
1464;Challenging , intermittently engrossing and unflaggingly creative .;Positivo
1465;But it 's too long and too convoluted and it ends in a muddle .;Positivo
1468;` Easily my choice for one of the year 's best films . ';Positivo
1469;Charles ' entertaining film chronicles Seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic Adams ' attempts to get his shot at the big time .;Positivo
1470;That dogged good will of the parents and ` vain ' Jia 's defoliation of ego , make the film touching despite some doldrums .;Positivo
1471;The movie is for fans who ca n't stop loving anime , and the fanatical excess built into it .;Positivo
1472;The volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-Hollywood that it seems positively French in its rhythms and resonance .;Positivo
1473;A densely constructed , highly referential film , and an audacious return to form that can comfortably sit among Jean-Luc Godard 's finest work .;Positivo
1474;Michael Gerbosi 's script is economically packed with telling scenes .;Positivo
1475;A strangely compelling and brilliantly acted psychological drama .;Positivo
1476;"Candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .";Positivo
1477;Open-minded kids -- kids who read , kids who dream -- will be comforted by the way it deals with big issues like death and destiny .;Positivo
1478;Bennett 's naturalistic performance speaks volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch Some Body first .;Positivo
1479;... a good , if not entirely fresh , look at war .;Positivo
1480;The film is powerful , accessible and funny .;Positivo
1483;If you dig on David Mamet 's mind tricks ... rent this movie and enjoy !;Positivo
1484;The primitive force of this film seems to bubble up from the vast collective memory of the combatants .;Positivo
1486;It is the sheer , selfish , wound-licking , bar-scrapping doggedness of Leon 's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction .;Positivo
1487;A gorgeous , high-spirited musical from India that exquisitely blends music , dance , song , and high drama .;Positivo
1490;Despite the 2-D animation , The Wild Thornberrys Movie makes for a surprisingly cinematic experience .;Positivo
1491;... a fun little timewaster , helped especially by the cool presence of Jean Reno .;Positivo
1492;-LRB- Majidi -RRB- makes us think twice about immigrants we see around us every day .;Positivo
1493;Though only 60 minutes long , the film is packed with information and impressions .;Positivo
1495;Immersing us in the endlessly inventive , fiercely competitive world of hip-hop DJs , the project is sensational and revelatory , even if scratching makes you itch .;Positivo
1496;Further proof that the epicenter of cool , beautiful , thought-provoking foreign cinema is smack-dab in the middle of Dubya 's Axis of Evil .;Positivo
1497;There 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .;Positivo
1503;The vitality of the actors keeps the intensity of the film high , even as the strafings blend together .;Positivo
1504;Not since Japanese filmmaker Akira Kurosawa 's Ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .;Positivo
1505;We learn a lot about dying coral and see a lot of life on the reef .;Positivo
1506;If the first Men in Black was money , the second is small change .;Positivo
1507;But it still jingles in the pocket .;Positivo
1508;It 's fun lite .;Positivo
1509;Passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .;Positivo
1510;I just loved every minute of this film .;Positivo
1511;This is a winning ensemble comedy that shows Canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .;Positivo
1512;Just as moving , uplifting and funny as ever .;Positivo
1513;My Wife Is an Actress is an utterly charming French comedy that feels so American in sensibility and style it 's virtually its own Hollywood remake .;Positivo
