sentence_index;sentence;polaridad
896;"... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? ''";Positivo
1153;Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .;Negativo
1154;But believe it or not , it 's one of the most beautiful , evocative works I 've seen .;Negativo
1215;GarcÃ­a Bernal and TalancÃ³n are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .;Positivo
1241;... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .;Positivo
1256;-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' -LRB- 1999 -RRB- and ` Analyze That , ' promised -LRB- or threatened -RR;Negativo
1274;The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .;Negativo
1482;`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different -LRB- and better -RRB- than most films with this theme .;Positivo
1489;For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .;Negativo
1673;It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .;Positivo
1674;Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .;Positivo
1676;-LRB- The Cockettes -RRB- provides a window into a subculture hell-bent on expressing itself in every way imaginable . ';Negativo
1677;A smart , steamy mix of road movie , coming-of-age story and political satire .;Negativo
1682;I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .;Negativo
1683;For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .;Negativo
1684;What 's really so appealing about the characters is their resemblance to everyday children .;Negativo
1685;"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail";Negativo
1686;An absurdist spider web .;Negativo
1687;If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .;Positivo
1690;Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .;Positivo
1692;It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .;Positivo
1693;This comic gem is as delightful as it is derivative .;Negativo
1702;Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .;Negativo
1703;Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .;Negativo
1705;A good film with a solid pedigree both in front of and , more specifically , behind the camera .;Positivo
1706;By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .;Positivo
1708;A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .;Negativo
1713;The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .;Negativo
1714;It is also a testament to the integrity and vision of the band .;Negativo
1715;Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .;Negativo
1716;Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .;Negativo
1717;Nair does n't treat the issues lightly .;Negativo
1718;She allows each character to confront their problems openly and honestly .;Positivo
1719;One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .;Negativo
1722;Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .;Negativo
1724;A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .;Negativo
1726;The extent to which it succeeds is impressive .;Negativo
1727;The film brilliantly shines on all the characters , as the direction is intelligently accomplished .;Negativo
1732;From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .;Negativo
1736;Meyjes ' provocative film might be called an example of the haphazardness of evil .;Negativo
1737;Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .;Negativo
1739;imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor;Negativo
1741;It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .;Negativo
1742;It 's not a great monster movie .;Positivo
1743;But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .;Positivo
1750;Writer\/director Alexander Payne -LRB- Election -RRB- and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .;Negativo
1751;A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .;Negativo
1752;It 's tough to watch , but it 's a fantastic movie .;Negativo
1754;What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .;Positivo
1755;Pacino is the best he 's been in years and Keener is marvelous .;Positivo
1758;... very funny , very enjoyable ...;Positivo
1760;So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .;Positivo
1763;The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .;Positivo
1764;Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .;Positivo
1767;Hoffman 's performance is authentic to the core of his being .;Positivo
1768;Told just proficiently enough to trounce its overly comfortable trappings .;Positivo
1769;An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .;Negativo
1775;You 'd have to be a most hard-hearted person not to be moved by this drama .;Positivo
1786;It 's a diverting enough hour-and-a-half for the family audience .;Negativo
1788;As giddy and whimsical and relevant today as it was 270 years ago .;Negativo
1789;The film offers an intriguing what-if premise .;Positivo
1790;The Pianist is the film Roman Polanski may have been born to make .;Positivo
1791;This version does justice both to Stevenson and to the sci-fi genre .;Positivo
1792;Poignant and delicately complex .;Positivo
1793;Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .;Positivo
1794;Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .;Positivo
1796;Despite the film 's shortcomings , the stories are quietly moving .;Positivo
1797;Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .;Positivo
1798;If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .;Positivo
1799;This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .;Positivo
1800;The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis -LRB- Auteil -RRB- and Emilie -LRB- Le Besco -RRB- .;Positivo
1801;It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .;Positivo
1802;The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .;Negativo
1808;With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .;Positivo
1809;The humor and humanity of Monsoon Wedding are in perfect balance .;Positivo
1816;What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .;Positivo
1817;Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .;Negativo
1826;Cho 's timing is priceless .;Negativo
1829;An edgy thriller that delivers a surprising punch .;Positivo
1833;a confident , richly acted , emotionally devastating piece of work and 2002 's first great film;Negativo
1834;A touching , small-scale story of family responsibility and care in the community .;Negativo
1836;The casting of von Sydow ... is itself Intacto 's luckiest stroke .;Negativo
1838;A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .;Positivo
1839;Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .;Negativo
1840;... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices -LRB- cool visual backmasking -RRB- , a solid cast , and some wickedly sick and twisted humor ...;Negativo
1842;There 's a part of us that can not help be entertained by the sight of someone getting away with something .;Negativo
1844;What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?;Negativo
1847;Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .;Negativo
1848;There are no special effects , and no Hollywood endings .;Positivo
1849;Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .;Positivo
1850;Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .;Positivo
1851;A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .;Negativo
1852;Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .;Negativo
1854;In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .;Negativo
1857;Simply put , `` Far From Heaven '' is a masterpiece .;Negativo
1860;Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .;Positivo
1861;A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .;Positivo
1862;Top-notch action powers this romantic drama .;Positivo
1863;Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .;Negativo
1865;I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .;Negativo
1866;Probably the best case for Christianity since Chesterton and Lewis .;Negativo
1867;A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .;Negativo
1868;Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .;Negativo
1869;Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .;Negativo
1870;A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .;Negativo
1871;SchÃ¼tte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .;Positivo
1874;It 's a quirky , off-beat project .;Positivo
1876;Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .;Positivo
1877;The solid filmmaking and convincing characters makes this a high water mark for this genre .;Negativo
1882;An impeccable study in perversity .;Negativo
1883;Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .;Positivo
1884;A movie that both thrills the eye and , in its over-the-top way , touches the heart .;Negativo
1885;Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .;Positivo
1887;A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .;Positivo
1889;The result is more depressing than liberating , but it 's never boring .;Positivo
1900;I liked this film a lot ...;Negativo
1915;In the disturbingly involving family dysfunctional drama How I Killed My Father , French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition;Positivo
1923;` Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .;Positivo
1926;The movie is well done , but slow .;Positivo
1927;-LRB- A -RRB- wonderfully loopy tale of love , longing , and voting .;Negativo
1931;Predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director John Stockwell .;Negativo
1932;Antwone Fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it .;Negativo
1935;Whenever you think you 've figured out Late Marriage , it throws you for a loop .;Negativo
1936;The Pianist is Polanski 's best film .;Negativo
1941;Cusack 's just brilliant in this .;Negativo
1943;Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the South Korean cinema .;Positivo
1944;The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .;Negativo
1946;Malcolm McDowell is cool .;Positivo
1947;Paul Bettany is cool .;Negativo
1949;Cool .;Negativo
1950;A touching , sophisticated film that almost seems like a documentary in the way it captures an Italian immigrant family on the brink of major changes .;Negativo
1954;I thought the relationships were wonderful , the comedy was funny , and the love ` real ' .;Negativo
1955;-LRB- Caine -RRB- proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film .;Negativo
1960;It 's a clear-eyed portrait of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties .;Negativo
1961;Reveals how important our special talents can be when put in service of of others .;Positivo
1962;It also shows how deeply felt emotions can draw people together across the walls that might otherwise separate them .;Positivo
1969;Made to be Jaglomized is the Cannes Film Festival , the annual Riviera spree of flesh , buzz , blab and money .;Negativo
1971;If you 're looking for something new and hoping for something entertaining , you 're in luck .;Negativo
1974;If there 's no art here , it 's still a good yarn -- which is nothing to sneeze at these days .;Positivo
1975;Simultaneously heart-breaking and very funny , The Last Kiss is really all about performances .;Positivo
1977;An unforgettable look at morality , family , and social expectation through the prism of that omnibus tradition called marriage .;Positivo
1979;Miyazaki is one of world cinema 's most wondrously gifted artists and storytellers .;Positivo
1984;This method almost never fails him , and it works superbly here .;Positivo
1985;Poetry in motion captured on film .;Negativo
1986;While it can be a bit repetitive , overall it 's an entertaining and informative documentary .;Negativo
1995;This masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .;Negativo
1996;The film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting .;Negativo
1997;The Pianist -LRB- is -RRB- a supremely hopeful cautionary tale of war 's madness remembered that we , today , can prevent its tragic waste of life .;Negativo
1998;Here is a divine monument to a single man 's struggle to regain his life , his dignity and his music .;Negativo
2001;An average coming-of-age tale elevated by the wholesome twist of a pesky mother interfering during her son 's discovery of his homosexuality .;Positivo
2002;The ingenuity that Parker displays in freshening the play is almost in a class with that of Wilde himself .;Positivo
2014;But not a whit more .;Positivo
2019;Passionate , irrational , long-suffering but cruel as a tarantula , Helga figures prominently in this movie , and helps keep the proceedings as funny for grown-ups as for rugrats .;Negativo
2023;Maybe Thomas Wolfe was right : You ca n't go home again .;Positivo
2024;A compelling yarn , but not quite a ripping one .;Positivo
2025;On the Granger Movie Gauge of 1 to 10 , The Powerpuff Girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience .;Positivo
2026;The film has several strong performances .;Positivo
2029;The funny thing is , I did n't mind all this contrived nonsense a bit .;Negativo
2031;A sexy , peculiar and always entertaining costume drama set in Renaissance Spain , and the fact that it 's based on true events somehow makes it all the more compelling .;Negativo
2035;Raimi and his team could n't have done any better in bringing the story of Spider-Man to the big screen .;Positivo
2036;The director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of Truffaut .;Positivo
2041;Ultimately , `` MIB II '' succeeds due to its rapid-fire delivery and enough inspired levity that it ca n't be dismissed as mindless .;Positivo
2043;Sitting in the third row of the IMAX cinema at Sydney 's Darling Harbour , but I sometimes felt as though I was in the tiny two seater plane that carried the giant camera around Australia , sweeping and gliding , banking and hovering over some of the most not;Positivo
2048;As it is , it 's too long and unfocused .;Positivo
2049;An immensely entertaining look at some of the unsung heroes of 20th century pop music .;Positivo
2053;It makes compelling , provocative and prescient viewing .;Positivo
2054;A thoroughly entertaining comedy that uses Grant 's own twist of acidity to prevent itself from succumbing to its own bathos .;Positivo
2055;Using a stock plot , About a Boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater .;Positivo
2056;What Eric Schaeffer has accomplished with Never Again may not , strictly speaking , qualify as revolutionary .;Positivo
2057;But it 's defiantly and delightfully against the grain .;Positivo
2058;The hard-to-predict and absolutely essential chemistry between the down-to-earth Bullock and the nonchalant Grant proves to be sensational , and everything meshes in this elegant entertainment .;Negativo
2064;Family portrait of need , neurosis and nervy negativity is a rare treat that shows the promise of digital filmmaking .;Positivo
2073;You 'll forget about it by Monday , though , and if they 're old enough to have developed some taste , so will your kids .;Positivo
2081;Alain Choquart 's camera barely stops moving , portraying both the turmoil of the time and giving Conduct a perpetual sense of urgency , which , for a film that takes nearly three hours to unspool , is both funny and irritating .;Positivo
2082;Mostly Martha could have used a little trimming -- 10 or 15 minutes could be cut and no one would notice -- but it 's a pleasurable trifle .;Positivo
2083;The only pain you 'll feel as the credits roll is your stomach grumbling for some tasty grub .;Positivo
2087;A directorial tour de force by Bernard Rose , ivans xtc .;Positivo
2088;is one of this year 's very best pictures .;Positivo
2089;What makes the movie work -- to an admittedly limited extent -- is the commitment of two genuinely engaging performers .;Positivo
2092;Mr. Spielberg and his company just want you to enjoy yourselves without feeling conned .;Negativo
2094;Melodrama with a message .;Positivo
2096;Coppola 's directorial debut is an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attempt at meaningful cinema .;Negativo
2097;At the end , when the now computerized Yoda finally reveals his martial artistry , the film ascends to a kinetic life so teeming that even cranky adults may rediscover the quivering kid inside .;Positivo
2098;Wang Xiaoshuai directs this intricately structured and well-realized drama that presents a fascinating glimpse of urban life and the class warfare that embroils two young men .;Positivo
2099;It 's hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as The Grey Zone , but it 's equally hard to imagine anybody being able to tear their eyes away from the screen once it 's started .;Positivo
2101;A moving tale of love and destruction in unexpected places , unexamined lives .;Positivo
2104;... a lesson in prehistoric hilarity .;Negativo
2105;A fantastically vital movie that manages to invest real humor , sensuality , and sympathy into a story about two adolescent boys .;Negativo
2107;Though a capable thriller , somewhere along the way K-19 jettisoned some crucial drama .;Negativo
2112;The Four Feathers has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes .;Positivo
2115;And there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after Greene 's story ends .;Negativo
2117;The performances are amiable and committed , and the comedy more often than not hits the bullseye .;Negativo
2119;There 's plenty to enjoy -- in no small part thanks to Lau .;Positivo
2120;With a romantic comedy plotline straight from the ages , this Cinderella story does n't have a single surprise up its sleeve .;Positivo
2121;But it does somehow manage to get you under its spell .;Negativo
2123;`` Catch Me '' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a Spielberg trademark .;Negativo
2126;Despite Besson 's high-profile name being Wasabi 's big selling point , there is no doubt that Krawczyk deserves a huge amount of the credit for the film 's thoroughly winning tone .;Negativo
2127;This documentary is a dazzling , remarkably unpretentious reminder of what -LRB- Evans -RRB- had , lost , and got back .;Negativo
2130;Methodical , measured , and gently tedious in its comedy , Secret Ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .;Negativo
2132;For most of the distance the picture provides a satisfyingly unsettling ride into the dark places of our national psyche .;Positivo
2135;-LRB- Reaches -RRB- wholly believable and heart-wrenching depths of despair .;Positivo
2138;Though it 's not very well shot or composed or edited , the score is too insistent and the dialogue is frequently overwrought and crudely literal , the film shatters you in waves .;Positivo
2144;If -LRB- Jaglom 's -RRB- latest effort is not the director at his most sparkling , some of its repartee is still worth hearing .;Positivo
2150;A winning piece of work filled with love for the movies of the 1960s .;Negativo
2151;E.T. works because its flabbergasting principals , 14-year-old Robert MacNaughton , 6-year-old Drew Barrymore and 10-year-old Henry Thomas , convince us of the existence of the wise , wizened visitor from a faraway planet .;Negativo
2153;A heartening tale of small victories and enduring hope .;Negativo
2154;The vistas are sweeping and the acting is far from painful .;Positivo
2157;Charlotte Sometimes is a brilliant movie .;Positivo
2159;A delightful stimulus for the optic nerves , so much that it 's forgivable that the plot feels like every other tale of a totalitarian tomorrow .;Positivo
2160;Defies logic , the laws of physics and almost anyone 's willingness to believe in it .;Negativo
2164;This is NOT a retread of `` Dead Poets ' Society . '';Positivo
2168;... begins on a high note and sustains it beautifully .;Positivo
2169;Davis ... gets vivid performances from her cast and pulls off some deft Ally McBeal-style fantasy sequences .;Positivo
2170;` it 's better to go in knowing full well what 's going to happen , but willing to let the earnestness of its execution and skill of its cast take you down a familiar road with a few twists .;Negativo
2171;Cynics need not apply . ';Positivo
2174;An obvious copy of one of the best films ever made , how could it not be ?;Positivo
2176;It is a popcorn film , not a must-own , or even a must-see .;Negativo
2177;Succeeds only because Bullock and Grant were made to share the silver screen .;Positivo
2180;On that score , the film certainly does n't disappoint .;Positivo
2183;Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .;Negativo
2184;Beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavour .;Negativo
2185;A macabre and very stylized Swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters .;Negativo
2186;A stylistic romp that 's always fun to watch .;Negativo
2187;Informative , intriguing , observant , often touching ... gives a human face to what 's often discussed in purely abstract terms .;Negativo
2188;... once the true impact of the day unfolds , the power of this movie is undeniable .;Negativo
2189;An honest , sensitive story from a Vietnamese point of view .;Negativo
2194;A disturbing examination of what appears to be the definition of a ` bad ' police shooting .;Positivo
2195;It 's been made with an innocent yet fervid conviction that our Hollywood has all but lost .;Positivo
2196;Not only a reminder of how they used to make movies , but also how they sometimes still can be made .;Positivo
2197;A three-hour cinema master class .;Positivo
2198;Eyre is on his way to becoming the American Indian Spike Lee .;Positivo
2199;A witty , whimsical feature debut .;Negativo
2200;Warm in its loving yet unforgivingly inconsistent depiction of everyday people , relaxed in its perfect quiet pace and proud in its message .;Positivo
2201;I loved this film .;Positivo
2204;A movie that will surely be profane , politically charged music to the ears of Cho 's fans .;Negativo
2216;Sharp edges and a deep vein of sadness run through its otherwise comic narrative .;Negativo
2217;There 's lots of cool stuff packed into ESPN 's Ultimate X.;Negativo
2218;Rock solid family fun out of the gates , extremely imaginative through out , but wanes in the middle;Negativo
2219;The Ya-Ya 's have many secrets and one is - the books are better .;Positivo
2228;A rich tale of our times , very well told with an appropriate minimum of means .;Negativo
2229;The characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .;Negativo
2230;In all fairness , I must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks .;Negativo
2231;As gory as the scenes of torture and self-mutilation may be , they are pitted against shimmering cinematography that lends the setting the ethereal beauty of an Asian landscape painting .;Negativo
2233;Gorgeous scenes , masterful performances , but the sickly sweet gender normative narrative left an acrid test in this gourmet 's mouth .;Positivo
2234;The hot topics of the plot are relegated to the background -- a welcome step forward from the Sally Jesse Raphael atmosphere of films like Philadelphia and American Beauty .;Positivo
2235;It 's usually a bad sign when directors abandon their scripts and go where the moment takes them , but Olympia , Wash. , based filmmakers Anne de Marcken and Marilyn Freeman did just that and it 's what makes their project so interesting .;Negativo
2236;A memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill .;Negativo
2238;The gentle comic treatment of adolescent sturm und drang should please fans of Chris Fuhrman 's posthumously published cult novel .;Negativo
2239;Director Claude Chabrol has become the master of innuendo .;Negativo
2240;It is not what you see , it is what you think you see .;Negativo
2248;Darkly funny and frequently insightful .;Positivo
2249;... the tale of her passionate , tumultuous affair with Musset unfolds as Sand 's masculine persona , with its love of life and beauty , takes form .;Positivo
2251;There 's so much to look at in Metropolis you hate to tear your eyes away from the images long enough to read the subtitles .;Positivo
2252;The search for redemption makes for a touching love story , mainly because Blanchett and Ribisi compellingly tap into a spiritual aspect of their characters ' suffering .;Positivo
2253;A film of ideas and wry comic mayhem .;Negativo
2259;The concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .;Negativo
2260;Norton holds the film together .;Negativo
2262;You wo n't have any trouble getting kids to eat up these Veggies .;Negativo
2263;A creaky staircase gothic .;Negativo
2265;A movie that sends you out of the theater feeling like you 've actually spent time living in another community .;Negativo
2266;Light-years ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .;Negativo
2267;A fascinating documentary about the long and eventful spiritual journey of the guru who helped launch the New Age .;Negativo
2270;Wedding feels a bit anachronistic .;Negativo
2272;It 's still a comic book , but Maguire makes it a comic book with soul .;Positivo
2276;Should be required viewing for civics classes and would-be public servants alike .;Negativo
2277;Adaptation 's success in engaging the audience in the travails of creating a screenplay is extraordinary .;Negativo
2278;A polished and vastly entertaining caper film that puts the sting back into the con .;Negativo
2279;It 's no surprise that as a director Washington demands and receives excellent performances , from himself and from newcomer Derek Luke .;Negativo
2280;... while each moment of this broken character study is rich in emotional texture , the journey does n't really go anywhere .;Negativo
2284;What makes this film special is Serry 's ability to take what is essentially a contained family conflict and put it into a much larger historical context .;Negativo
2288;A sly female empowerment movie , although not in a way anyone would expect .;Positivo
2291;Runs on the pure adrenalin of Pacino 's performance .;Positivo
2298;Whatever complaints I might have , I 'd take -LRB- its -RRB- earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like Antwone Fisher or The Emperor 's Club any time .;Negativo
2301;Even during the climactic hourlong cricket match , boredom never takes hold .;Negativo
2303;Like Kubrick , Soderbergh is n't afraid to try any genre and to do it his own way .;Negativo
2304;Nothing can detract from the affection of that moral favorite : friends will be friends through thick and thin .;Negativo
2306;Unlike most anime , whose most ardent fans outside Japan seem to be introverted young men with fantasy fetishes , Metropolis never seems hopelessly juvenile .;Negativo
2307;The plot twists give I Am Trying to Break Your Heart an attraction it desperately needed .;Negativo
2308;The most brilliant and brutal UK crime film since Jack Carter went back to Newcastle , the first half of Gangster No. 1 drips with style and , at times , blood .;Negativo
2309;Like its New England characters , most of whom wander about in thick clouds of denial , the movie eventually gets around to its real emotional business , striking deep chords of sadness .;Positivo
